Polymer, loading, mass Li, count rate, error, count rate per mass
PS     ,  0.20  ,  4.798 ,   2.816   , 0.04 ,   0.587
PS     ,  0.30  ,  7.192 ,   3.360   , 0.05 ,   0.467
PS     ,  0.10  ,  2.401 ,   1.879   , 0.03 ,   0.783
PEN    ,  0.20  ,  4.769 ,   2.668   , 0.04 ,   0.559
PEN    ,  0.30  ,  7.154 ,   3.234   , 0.04 ,   0.452
PEN    ,  0.10  ,  2.384 ,   1.726   , 0.02 ,   0.724

