Polymer, loading, mass Li, count rate, error, count rate per mass
PS     ,  0.20  ,  4.798 ,   1.852   , 0.04 ,   0.386
PS     ,  0.30  ,  7.192 ,   2.160   , 0.04 ,   0.300
PS     ,  0.10  ,  2.401 ,   1.321   , 0.03 ,   0.550
PEN    ,  0.20  ,  4.769 ,   1.841   , 0.04 ,   0.386
PEN    ,  0.30  ,  7.154 ,   2.157   , 0.04 ,   0.302
PEN    ,  0.10  ,  2.384 ,   1.325   , 0.03 ,   0.556

